Squad,Matches Played,Win,Draw,Loss,Goal Difference,Points
Manchester City,38,29,6,3,73,93
Liverpool,38,28,8,2,68,92
Chelsea,38,21,11,6,43,74
Tottenham,38,22,5,11,29,71
Arsenal,38,22,3,13,13,69
Manchester Utd,38,16,10,12,0,58
West Ham,38,16,8,14,9,56
Leicester City,38,14,10,14,3,52
Brighton,38,12,15,11,-2,51
Wolves,38,15,6,17,-5,51
Newcastle Utd,38,13,10,15,-18,49
Crystal Palace,38,11,15,12,4,48
Brentford,38,13,7,18,-8,46
Aston Villa,38,13,6,19,-2,45
Southampton,38,9,13,16,-24,40
Everton,38,11,6,21,-23,39
Leeds United,38,9,11,18,-37,38
Burnley,38,7,14,17,-19,35
Watford,38,6,5,27,-43,23
Norwich City,38,5,7,26,-61,22
